#Clutter

// ------------------------------------------------
// Kava New - Goober
// ------------------------------------------------


//$Class Name:           "Mesh Test"
//$V3D Filename:         "meshtest.v3d"
//$Material:             "rock"
//$Life:                 -1
//$Flags:                ("collide_object")
//$RFE Level1:	       "Kava"

$Debris Filename:      "plastic_crate01_debris.v3d"
$Material:             "solid"
$Life:                 180
$Explode Anim:         "yellboom_metal"
$Explode Anim Radius:  .7
$Flags:                ("collide_object" "is_switch")
$Debris Velocity:	     2
$RFE Level1:	       "Storage"


$Class Name:           "Square Plastic Crate"
$V3D Filename:         "plastic_crate01.V3D"
$Debris Filename:      "plastic_crate01_debris.v3d"
$Debris Sound Set:     "large debris bounce"
$Material:             "solid"
$Life:                 150
$Explode Anim:         "crateboom"
$Explode Anim Radius:  1
$Flags:                ("collide_object")
$Debris Velocity:	     2
$RFE Level1:	       "Storage"

$Class Name:           "Long Plastic Crate"
$V3D Filename:         "plastic_crate02.V3D"
$Debris Filename:      "plastic_crate01_debris.v3d"
$Debris Sound Set:     "large debris bounce"
$Material:             "solid"
$Life:                 150
$Explode Anim:         "crateboom"
$Explode Anim Radius:  1
$Flags:                ("collide_object")
$Debris Velocity:	     1.6
$RFE Level1:	        "Storage"

$Class Name:           "Ultor Crate Small"
$V3D Filename:         "crate.v3d"
$Debris Filename:      "crate_debris.v3d"
$Debris Sound Set:     "large debris bounce"
$Material:             "solid"
$Life:                 190
$Explode Anim:         "crateboom"
$Explode Anim Radius:  1
$Flags:                ("collide_object")
$Debris Velocity:	     1
$RFE Level1:	       "Storage"

$Class Name:           "Ultor Crate Yellow"
$V3D Filename:         "crate.v3d"
$Debris Filename:      "crate_debris.v3d"
$Debris Sound Set:     "large debris bounce"
$Material:             "solid"
$Life:                 150
$Explode Anim:         "crateboom"
$Explode Anim Radius:  1
$Flags:                ("collide_object")
$Debris Velocity:	     1
$RFE Level1:	       "Storage"

$Class Name:           "Ultor Barrel Yellow"
$V3D Filename:         "barrel.v3d"
$Debris Filename:      "barrel_debris.v3d"
$Debris Sound Set:     "large debris bounce"
$Material:             "solid"
$Life:                 200
$Explode Anim:         "crateboom"
$Explode Anim Radius:  .4
$Flags:                ("collide_object")
$Debris Velocity:      1.9
$RFE Level1:	       "Storage"

$Class Name:           "Oil Drum"
$V3D Filename:         "OilDrum01.v3d"
$Debris Filename:      "oildrum01_debris.v3d"
$Material:             "metal"
$Life:                 19
$Explode Anim:         "oil drum explode"
$Explode Anim Radius:  3.0
$Flags:                ("collide_object")
$RFE Level1:	       "Storage"

$Class Name:           "Icy OilDrum"
$V3D Filename:         "icyoildrum.V3D"
$Material:             "metal"
$Life:                 19
$Explode Anim:         "oil drum explode"
$Explode Anim Radius:  3.0
$Flags:                ("collide_object")
$RFE Level1:	       "Storage"

	$Class Name:           "Oil Drum Fire"
	$V3D Filename:         "oildrumflamer.v3d"
	$Emitter:              "barrelfire"
	$Emitter:              "barrelfire"
	$Emitter:              "barrelfire"
	$Emitter:              "barrelfire"
	$Emitter:              "barrelsmoke"
	$Material:             "metal"
	$Life:                 19
	$Damage Type Factor:		"bash"							0.0
	$Damage Type Factor:		"bullet"							0.0
	$Damage Type Factor:		"armor piercing bullet"		0.0
	$Damage Type Factor:		"fire"							0.0
	$Damage Type Factor:		"energy"							0.0
	$Sound:                "Burning"
	$Explode Anim:         "oil drum explode"
	$Explode Anim Radius:  3.0
	$Flags:                ("collide_object")
	$RFE Level1:	        "Storage"

$Class Name:           "Pallet"
$V3D Filename:         "Pallet.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Storage"

$Class Name:           "Cable Spool"
$V3D Filename:         "CableSpool.v3d"
$Debris Filename:      "spool_debris.V3D"
$Material:             "metal"
$Life:                 -1
$Damage Type Factor:		"bash"		0.0
$Damage Type Factor:		"bullet"	0.0
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2.0
$Flags:                ("collide_object")
$RFE Level1:	       "Storage"

$Class Name:           "Fuel Tank"
$V3D Filename:         "FuelTank.v3d"
$Debris Filename:      "genericbigdebris.V3D"
$Corpse Class Name:    "Fuel Tank Corpse"
$Material:             "metal"
$Life:                 125
$Damage Type Factor:		"bash"		0.0
$Damage Type Factor:		"bullet"	0.0
$Damage Type Factor:		"fire"		0.0
$Damage Type Factor:		"energy"	0.0
$Explode Anim:         "objectboom2"
$Explode Anim Radius:  6
$Flags:                ("collide_object")
$RFE Level1:	       "Storage"

$Class Name:           "Fuel Tank Corpse"
$V3D Filename:         "FuelTank_corpse.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Storage"

$Class Name:           "Lockers"
$V3D Filename:         "Lockers.v3d"
$Corpse Class Name:    "Lockers Corpse"
$Material:             "metal"
$Life:                 125
$Damage Type Factor:		"bash"							0.0
$Damage Type Factor:		"bullet"							0.0
$Damage Type Factor:		"armor piercing bullet"		0.0
$Damage Type Factor:		"fire"							0.0
$Damage Type Factor:		"energy"							0.0
$Flags:                ("collide_object")
$RFE Level1:	       "Storage"

$Class Name:           "Lockers Corpse"
$V3D Filename:         "locker_corpse.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Storage"

$Class Name:           "Metal Debris 1"
$V3D Filename:         "flatmtl02.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Storage"

$Class Name:           "Metal Debris 2"
$V3D Filename:         "flatmtlshrapnel02.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Storage"


// ------------------------------------------------
// Medical Equipment
// ------------------------------------------------

$Class Name:				"cryotube"
$V3D Filename:				"cryotube.V3D"
$Debris Filename:			"genericlight01_debris.V3D"
$Debris Sound Set:		"large debris bounce"
$Corpse Class Name:		"cryotube_corpse"
$Material:					"metal"
$Life:						160
$Explode Anim:				"yellboom_metal"
$Explode Anim Radius:  .9
$Flags:						("collide_object")
$Debris Velocity:	  	   6
$Damage Type Factor:		"bash"							0.0
$Damage Type Factor:		"bullet"							0.0
$Damage Type Factor:		"armor piercing bullet"		0.0
$Damage Type Factor:		"fire"							0.0
$Damage Type Factor:		"energy"							0.0
$RFE Level1:			   "Medical Equipment"

$Class Name:      "cryotube_corpse"
$V3D Filename:    "cryotube_corpse.V3D"
$Material:        "metal"
$Life:            -1
$Flags:           ("collide_object")
$RFE Level1:	  "Medical Equipment"

$Class Name:      "mutant_patient"
$V3D Filename:    "mutant_patient.V3D"
$Debris Filename: ""
$Material:        "flesh"
$Life:            -1
$Flags:           ("collide_object")
$RFE Level1:	  "Medical Equipment"

$Class Name:				"IV"
$V3D Filename:				"IV.V3D"
$Debris Filename:			"iv_debris.v3d"
$Material:					"metal"
$Life:						120
$Explode Anim:				"Glass Explode_B"
$Explode Anim Radius:	.4
$Flags:						("collide_object")
$Debris Velocity:			1
$RFE Level1:				"Medical Equipment"


$Class Name:      "Vat1"
$V3D Filename:    "Vat1.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Material:        "metal"
$Life:            10
$Flags:           ("collide_object" "is_switch")
$RFE Level1:	  "Medical Equipment"

$Class Name:           "surgical_light"
$V3D Filename:         "surgical_light.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 160
$Explode Anim:         "yellboom_metal"
$Explode Anim Radius:  0.8
$Glare:					  "surgical_light"
$Flags:                ("collide_object")
$Debris Velocity:		  2
$RFE Level1:           "Medical Equipment"

$Class Name:      "surgical_corpse"
$V3D Filename:    "surgical_corpse.V3D"
$Material:        "metal"
$Life:            -1
$Flags:           ("collide_object")
$RFE Level1:	  "Medical Equipment"

$Class Name:      "Med Desk"
$V3D Filename:    "meddesk1.V3D"
$Material:        "metal"
$Life:            -1
$Flags:           ("collide_object")
$RFE Level1:	  "Medical Equipment"

$Class Name:           "Doctor Tool1"
$V3D Filename:         "doctools1.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ()
$RFE Level1:           "Medical Equipment"

$Class Name:           "Doctor Tool2"
$V3D Filename:         "doctools2.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ()
$RFE Level1:           "Medical Equipment"

$Class Name:           "work_table"
$V3D Filename:         "work_table.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Medical Equipment"

$Class Name:           "Doctor Tool3"
$V3D Filename:         "doctools3.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ()
$RFE Level1:           "Medical Equipment"

$Class Name:           "Doctor Tray"
$V3D Filename:         "doctray1.V3D"
$Debris Filename:      "doctray1.V3D"
$Debris Sound Set:     "Tin Hit"
$Material:             "metal"
$Life:                 -1
$Explode Anim:         "Tin Hit Sound"
$Explode Anim Radius:  .4
$Flags:                ("collide_object")
$Debris Velocity:      3.7
$RFE Level1:           "Medical Equipment"

$Class Name:           "Operating Table"
$V3D Filename:         "opertable1.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Medical Equipment"

$Class Name:           "Operating Table2"
$V3D Filename:         "opertable2.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Medical Equipment"

$Class Name:           "Operating patient2"
$V3D Filename:         "optable2_patient.V3D"
$Material:             "flesh"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Medical Equipment"

$Class Name:           "Medical Cabinet1"
$V3D Filename:         "medcase1.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "large debris bounce"
$Corpse Class Name:		"medcase1_corpse"
$Material:             "metal"
$Life:                 150
$Damage Type Factor:		"bash"							0.0
$Damage Type Factor:		"bullet"							0.0
$Damage Type Factor:		"armor piercing bullet"		0.0
$Damage Type Factor:		"fire"							0.0
$Damage Type Factor:		"energy"							0.0
$Flags:                ("collide_object")
$Debris Velocity:      6
$RFE Level1:           "Medical Equipment"

$Class Name:           "Medical Cabinet2"
$V3D Filename:         "medcase2.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "large debris bounce"
$Corpse Class Name:	   "medcase2_corpse"
$Material:             "metal"
$Life:                 150
$Damage Type Factor:		"bash"							0.0
$Damage Type Factor:		"bullet"							0.0
$Damage Type Factor:		"armor piercing bullet"		0.0
$Damage Type Factor:		"fire"							0.0
$Damage Type Factor:		"energy"							0.0
$Flags:                ("collide_object")
$Debris Velocity:      6
$RFE Level1:           "Medical Equipment"

$Class Name:           "medcase1_corpse"
$V3D Filename:         "medcase1_corp.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Medical Equipment"

$Class Name:           "medcase2_corpse"
$V3D Filename:         "medcase2_corp.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Medical Equipment"

$Class Name:           "Medical Monitor"
$V3D Filename:         "medmonitor1.V3D"
$Debris Filename:      "screen_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 120
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .4
$Flags:                ("collide_object")
$RFE Level1:           "Medical Equipment"

// ------------------------------------------------
// Switches
// ------------------------------------------------

	$Class Name:           "Elevator Button"
	$V3D Filename:         "elevatorbutton1.V3D"
	$Material:             "metal"
	$Life:                 -1
	$Flags:                ("is_switch")
	$RFE Level1:           "Switch"

$Class Name:           "hitechswitch1"
$V3D Filename:         "hitechswitch1.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("is_switch")
$RFE Level1:           "Switches"
$Skin:                 "Off"  	     ("hitech2prtswitch_off.tga")
$Skin:                 "On"   	     ("hitech2prtswitch_on.tga")

$Class Name:           "Console Button01"
$V3D Filename:         "consolebutton1.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("is_switch")
$RFE Level1:           "Switches"
$Skin:                 "Off"  	     ("consolebutton1.tga")
$Skin:                 "On"   	     ("consolebutton1A.tga")

$Class Name:           "Console Button02"
$V3D Filename:         "consolebutton2.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("is_switch")
$RFE Level1:           "Switches"
$Skin:                 "Off"  	     ("consolebutton2.tga")
$Skin:                 "On"   	     ("consolebutton2A.tga")

$Class Name:           "switchyellow1"
$V3D Filename:         "switchyellow1.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("is_switch")
$RFE Level1:           "Switches"
$Skin:                 "Off"         ("switchyellow1_off.tga")
$Skin:                 "On"          ("switchyellow1_on.tga")

$Class Name:           "switchblu2"
$V3D Filename:         "switchblu2.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("is_switch")
$RFE Level1:           "Switches"
$Skin:                 "Off"         ("switchblu2_off.tga")
$Skin:                 "On"          ("switchblu2_on.tga")


$Class Name:           "switchblu1"
$V3D Filename:         "switchblu1.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("is_switch")
$RFE Level1:           "Switches"
$Skin:                 "Off"         ("switchblu1_off.tga")
$Skin:                 "On"          ("switchblu1_on.tga")


$Class Name:           "mushbutton"
$V3D Filename:         "mushbutton.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("is_switch")
$RFE Level1:           "Switches"


$Class Name:           "AirlockSwitch"
$V3D Filename:         "AirlockSwitch.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("is_switch")
$RFE Level1:           "Switches"
$Skin:                 "Off"         ("AirSwitch_Front.tga" "AirSwitch_Off.tga")
$Skin:                 "On"          ("AirSwitch_Front.tga" "AirSwitch_On.tga")

$Class Name:           "2PartSwitch"
$V3D Filename:         "2PartSwitch.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object" "is_switch")
$RFE Level1:           "Switches"
$Skin:                 "Off"         ("2partswitch_Back.tga" "2partswitch_Off.tga" "2partswitch_Sides.tga")
$Skin:                 "On"          ("2partswitch_Back.tga" "2partswitch_On.tga" "2partswitch_Sides.tga")

$Class Name:           "2PartSwitch02"
$V3D Filename:         "2PartSwitch02.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object" "is_switch")
$RFE Level1:           "Switches"
$Skin:                 "Off"         ("2pt_Switch02_Off.tga")
$Skin:                 "On"          ("2pt_Switch02_On.tga")

$Class Name:           "ElevatorSwitch"
$V3D Filename:         "Elev_Switch.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("is_switch")
$RFE Level1:           "Switches"
$Skin:                 "Off"         ("elevbutton_off.tga")
$Skin:                 "Up"          ("elevbutton_up.tga")
$Skin:                 "Down"        ("elevbutton_down.tga")

$Class Name:           "ElevatorSwitch2"
$V3D Filename:         "Elev_Switch.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("is_switch")
$RFE Level1:           "Switches"
$Skin:                 "Off"  	     ("elevbutt02_on.tga")
$Skin:                 "On"   	     ("elevbutt02_off.tga")

// ------------------------------------------------
// Weapons
// ------------------------------------------------

$Class Name:           "turret_base"
$V3D Filename:         "sturret_body.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ()
$RFE Level1:           "Weapons"

$Class Name:           "turret_base_plain"
$V3D Filename:         "sturret_body_plain.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ()
$RFE Level1:           "Weapons"

$Class Name:           "turret_head_damaged"
$V3D Filename:         "sentry_turret01_dam.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ()
$RFE Level1:           "Weapons"

// ------------------------------------------------
// Cutscenes
// ------------------------------------------------

$Class Name:           "Cutscene06_fx"
$V3D Filename:         "Cutscene06_fx.vfx"
$Material:             "metal"
$Life:                 -1
$Flags:                ()
$RFE Level1:           "Cutscenes"

$Class Name:           "Cutscene07_fx"
$V3D Filename:         "Cutscene07_fx.vfx"
$Material:             "metal"
$Life:                 -1
$Flags:                ()
$RFE Level1:           "Cutscenes"

$Class Name:           "Cutscene07A_fx"
$V3D Filename:         "Cutscene07A_fx.vfx"
$Material:             "metal"
$Life:                 -1
$Flags:                ()
$RFE Level1:           "Cutscenes"

$Class Name:           "Cutscene08_fx"
$V3D Filename:         "Cutscene08_fx.vfx"
$Material:             "metal"
$Life:                 -1
$Flags:                ()
$RFE Level1:           "Cutscenes"

$Class Name:           "Cutscene09_fx"
$V3D Filename:         "Cutscene09_fx.vfx"
$Material:             "metal"
$Life:                 -1
$Flags:                ()
$RFE Level1:           "Cutscenes"

#End
